Time,ueId,assoCell,compCell,taskCount, upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
1.9,20,6,2,7,1.14541,0.0587109,1.03571,1.17857,0.500009,0,0.500009,0.500009,0,0,0,0,4.71429,1.88982,4,9,0.50072,0,0.50072,0.50072,3.23141,0.923233,2.74927,5.3207,
1.9,2,4,3,5,1.25,0.263657,0.82143,1.5,0.400007,0.223611,0,0.500009,0,0,0,0,7.6,3.1305,2,9,0.400576,0.223929,0,0.50072,12.5637,8.98147,3.48214,23.2493,
1.9,3,2,3,6,1.2204,0.164091,1.0367,1.375,2.33334,4.49073,0.500009,11.5,0,0,0,0,7.83333,2.85774,2,9,2.34496,4.51745,0.50072,11.5662,8.18165,2.76796,3.43284,10.5886,
1.9,10,3,3,2,1.66964,0.36618,1.41071,1.92857,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,28.6429,23.6628,11.9107,45.375,
1.9,15,5,3,5,1.25714,0.180613,1.10714,1.57143,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,7.33856,1.14988,5.65998,8.64213,
1.9,11,4,5,1,1.25,0,1.25,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,28.8921,0,28.8921,28.8921,
1.9,17,6,5,7,1.07157,0.0100291,1.05455,1.08929,1.35715,2.26778,0.500009,6.5,0,0,0,0,6.57143,1.13389,4,7,1.35793,2.26795,0.50072,6.50116,3.31284,1.07376,2.89213,5.74785,
1.9,19,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.9,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.9,13,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.9,16,5,6,5,1.41786,0.299233,1.17857,1.92857,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,6.05641,0.778313,4.99927,6.78498,
2,7,3,7,8,4.57911,7.21596,1.09027,21.9474,6.5,0,6.5,6.5,0.470982,1.33214,0,3.76786,4,0,4,4,6.50116,0,6.50116,6.50116,5.6675,1.62325,2.98,7.21214,
2,14,5,7,6,1.07241,0,1.07241,1.07241,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50879,0.00590811,6.50116,6.5126,4.56165,0.782622,3.89713,6.09356,
2,1,2,8,6,1.39087,0.187089,1.21527,1.69741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,7.20024,2.24366,3.78357,9.39071,
2,8,3,9,6,1.18848,0.0149402,1.1617,1.19741,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,7.18238,2.19611,3.19428,9.74785,
2,9,2,9,3,1.94113,1.01129,1.32143,3.10813,7.83334,6.35085,0.500009,11.5,0,0,0,0,5.66667,2.88675,4,9,7.83435,6.35111,0.50072,11.5012,48.3019,62.8964,11.73,120.928,
2,12,4,2,6,1.36309,0.0729009,1.21429,1.39286,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,3.40106,1.02884,2.73141,5.42784,
2,20,6,2,6,1.17857,0,1.17857,1.17857,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
2,2,4,3,7,1.07398,0.0465985,1,1.16071,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,3.79519,1.08938,2.90998,5.80284,
2,3,2,3,6,1.32143,0.200127,1.07143,1.625,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,5.4457,1.64418,2.74927,7.89213,
2,10,3,3,9,1.66667,0.347527,1.17857,2.14286,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,25.0714,20.17,6.75,54.7143,
2,15,5,3,5,1.46786,0.363865,1.125,2.08928,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,8.13499,0.451154,7.71356,8.73141,
2,11,4,5,8,5.14286,8.60969,1.10714,25.25,0.50001,3.18198e-06,0.500009,0.500018,1.64286,3.05059,0,6.99999,7,0,7,7,0.50072,0,0.50072,0.50072,11.3497,9.12328,2.87427,24.0171,
2,17,6,5,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
2,19,2,5,3,1.51786,0.557875,1.16071,2.16071,0.500009,0,0.500009,0.500009,0,0,0,0,5.33333,2.88675,2,7,0.50072,0,0.50072,0.50072,132.315,9.65849,124.481,143.106,
2,4,3,6,2,1.54464,0.643971,1.08929,2,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,123.794,7.33623,118.606,128.981,
2,13,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,16,5,6,6,1.13095,0.0995312,0.92857,1.17857,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,5.71058,0.456587,4.87427,6.14213,
2.1,7,3,7,6,1.15872,0.07,1.01884,1.19741,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,3.36988,0.882975,2.73,4.62285,
2.1,14,5,7,7,1.07496,0.00674931,1.07241,1.09027,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.5028,0.00432429,6.50116,6.5126,3.23091,0.262804,3.06928,3.78357,
2.1,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.1,8,3,9,7,1.6821,0.345407,1.19741,2.1617,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,6.71724,2.24143,4.23,9.67643,
2.1,9,2,9,5,4.77955,5.97986,1.39384,15.3581,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,27.1586,11.536,13.2657,43.6943,
2.1,12,4,2,6,1.92857,0.274559,1.39286,2.14286,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.32665,0.456901,2.99927,4.21356,
2.1,2,4,3,6,1.19345,0.325846,0.892858,1.82143,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,15.8981,7.97619,5.17784,22.1064,
2.1,3,2,3,6,1.22024,0.303606,1.07143,1.83929,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,10.0082,2.35478,5.23141,11.3743,
2.1,10,3,3,6,1.4375,0.405911,0.982143,2.17857,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,6.74405,2.18292,4.71429,9.21429,
2.1,15,5,3,7,1.46684,0.525945,0.946429,2.33928,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,12.5554,11.9084,4.96356,35.4278,
2.1,11,4,5,7,1.2602,0.0674931,1.10714,1.28571,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,3.01713,0.365817,2.6957,3.74927,
2.1,17,6,5,6,1.07738,0.0145802,1.07143,1.10714,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.90403,0.0145802,2.87427,2.90998,
2.1,19,2,5,9,5.40278,7.40874,1.14286,19.1607,0.500011,3.96863e-06,0.500009,0.500018,1.55555,3.08671,0,6.99999,7,0,7,7,0.50072,0,0.50072,0.50072,119.269,13.2315,99.4636,140.821,
2.1,4,3,6,2,1.25893,0.0126268,1.25,1.26786,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,184.258,9.88687,177.267,191.249,
2.1,13,2,6,5,2.14643,0.832074,1.26786,3.48214,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,58.8814,17.5641,35.3743,82.9278,
2.1,16,5,6,6,1.28571,0.0705295,1.25,1.42857,0.500009,0,0.500009,0.500009,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,5.14213,0.324391,4.8207,5.62427,
2.2,8,3,7,5,1.46527,0.271405,1.30455,1.94741,7.5,2.23607,6.5,11.5,0,0,0,0,6.4,1.34164,4,7,7.50116,2.23607,6.50116,11.5012,6.14071,0.951469,5.12286,7.23,
2.2,15,2,7,5,1.60436,0.396826,1.19643,2.14384,5.3,2.68328,0.500009,6.5,0,0,0,0,7.4,0.894427,7,9,5.30107,2.68348,0.50072,6.50116,8.93385,3.20528,5.55284,14.1764,
2.2,17,6,7,5,1.02936,0.0235185,1.01884,1.07143,5.3,2.68328,0.500009,6.5,0,0,0,0,7,0,7,7,5.30107,2.68348,0.50072,6.50116,2.96242,0.120423,2.90857,3.17784,
2.2,6,3,8,1,2.37598,0,2.37598,2.37598,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,9.855,0,9.855,9.855,
2.2,14,5,8,4,1.18848,0.0791906,1.07241,1.25098,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,4.74339,3.26492,3.08714,9.64071,
2.2,3,2,9,5,1.21864,0.152528,1.05455,1.375,9.3,4.91935,0.500009,11.5,0,0,0,0,3.4,3.1305,2,9,9.30107,4.91955,0.50072,11.5012,7.02314,2.20674,5.12286,10.6421,
2.2,9,3,2,5,1.64702,0.322066,1.28571,1.89384,7.1,6.02494,0.500009,11.5,0.292857,0.654849,0,1.46429,3.2,1.09545,2,4,7.10099,6.02519,0.50072,11.5012,31.8913,24.7668,5.03498,60.9264,
2.2,1,4,3,4,1.38442,0.102526,1.25098,1.50098,3.5,3.4641,0.500009,6.5,0,0,0,0,5.5,4.04145,2,9,3.50094,3.46436,0.50072,6.50116,66.0923,71.6273,3.9457,130.694,
