Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
4.6,2,2,6,4,4,1.08134,0.125,1.01884,1.26884,10.25,2.5,6.5,11.5,0,0,0,0,2.5,1,2,4,10.2512,2.5,6.50116,11.5012,3.00678,0.196429,2.90857,3.30143,
4.6,3,3,2,7,7,1.02055,0.00669737,1.01786,1.03571,1.35715,2.26778,0.500009,6.5,0,0,0,0,2.28571,0.755929,2,4,1.35793,2.26795,0.50072,6.50116,3.01182,0.277393,2.89213,3.64071,
4.7,4,3,5,7,7,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.94428,0,2.94428,2.94428,
4.7,2,2,6,6,6,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,2.90857,0,2.90857,2.90857,
4.7,3,3,2,6,6,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
4.8,4,3,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.94428,0,2.94428,2.94428,
4.8,2,2,6,7,1,1.01884,0,1.01884,1.01884,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,3.12285,0.0944911,2.90857,3.15857,
4.8,3,3,2,6,6,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
4.9,3,3,5,5,5,1.01864,0.000440058,1.01786,1.01884,5.3,2.68328,0.500009,6.5,0,0,0,0,3.6,0.894427,2,4,5.30107,2.68348,0.50072,6.50116,2.90885,0.000633702,2.90857,2.90998,
4.9,4,3,5,6,6,1.09622,0.0795923,1.01884,1.19741,6.5,0,6.5,6.5,0,0,0,0,3.66667,0.816497,2,4,6.50116,0,6.50116,6.50116,3.13178,0.173408,2.94428,3.46214,
4.9,2,3,2,6,6,1.23809,0.102062,1.19643,1.44643,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.98439,0.619663,2.73141,4.24927,
